location,primary_contact_source,contact_sources,population_source
China_Zhejiang,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Colombia,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Comoros,prem_2021,prem_2021,https://population.un.org/wpp/
Congo,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Costa Rica,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Cote_dIvoire,prem_2021,prem_2021,https://population.un.org/wpp/
Croatia,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Cuba,prem_2021,prem_2021,https://population.un.org/wpp/
Cyprus,mistry_2021,mistry_2021|prem_2021|prem_2017,https://population.un.org/wpp/
Czech_Republic,mistry_2021,mistry_2021|prem_2021|prem_2017,https://population.un.org/wpp/
Democratic_Republic_of_the_Congo,prem_2021,prem_2021,https://population.un.org/wpp/
Denmark,mistry_2021,mistry_2021|prem_2021|prem_2017,https://population.un.org/wpp/
Djibouti,prem_2021,prem_2021,https://population.un.org/wpp/
Dominican_Republic,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Ecuador,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Egypt,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
El_Salvador,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Equatorial_Guinea,prem_2021,prem_2021,https://population.un.org/wpp/
Eritrea,prem_2021,prem_2021,https://population.un.org/wpp/
Estonia,mistry_2021,mistry_2021|prem_2021|prem_2017,https://population.un.org/wpp/
Eswatini,prem_2021,prem_2021,https://population.un.org/wpp/
Ethiopia,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Fiji,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Finland,mistry_2021,mistry_2021|prem_2021|prem_2017,https://population.un.org/wpp/
France,mistry_2021,mistry_2021|prem_2021|prem_2017,https://population.un.org/wpp/
Gabon,prem_2021,prem_2021,https://population.un.org/wpp/
Gambia,prem_2021,prem_2021,https://population.un.org/wpp/
Georgia,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Germany,mistry_2021,mistry_2021|prem_2021|prem_2017,https://population.un.org/wpp/
Ghana,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Greece,mistry_2021,mistry_2021|prem_2021|prem_2017,https://population.un.org/wpp/
Guatemala,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Guinea,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Guinea-Bissau,prem_2021,prem_2021,https://population.un.org/wpp/
Guyana,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Haiti,prem_2017,prem_2017,https://population.un.org/wpp/
